Dimension,Category,Model,N,N_households,mean_kwh,mean_bias,median_bias,MAE,RMSE,R2,sMAPE,MedAE,P10_bias,P90_bias
HP Type,Air-Source,RF,40146,446,41.21187316295521,0.5062425216789687,-0.9239374253881039,7.800420635433643,11.966567946033935,0.7148782601052236,21.15895308586482,5.095115066241972,-10.817189950678571,12.812955558561153
HP Type,Air-Source,XGBoost,40146,446,41.21187316295521,-0.7190078225203597,-1.8718925666809074,8.17582638207345,12.066791136125026,0.7100823193688532,22.17513422950262,5.626602020263675,-12.70093334197998,11.855757598876952
HP Type,Air-Source,LightGBM,40146,446,41.21187316295521,-0.5909313338599058,-1.6940669082718607,8.202791568001286,12.235348869574583,0.70192618613149,22.24590774985183,5.590350780821861,-12.38891399979828,11.954939667065466
HP Type,Air-Source,DT,40146,446,41.21187316295521,0.6679173414913632,-0.4688431653911138,10.044355986849341,15.389421991389707,0.5284413371950486,26.318135904266605,6.62353324468085,-13.884630922625515,16.694328320801986
HP Type,Air-Source,ANN,40146,446,41.21187316295521,4.323829236212848,2.2102149989440747,11.635866992427719,16.69231606425513,0.4452155125006132,31.231271134236287,8.08312866698266,-12.35989706573418,23.551127911957682
HP Type,Air-Source,ElasticNet,40146,446,41.21187316295521,6.89778432716887,4.0391431557188575,14.735721073917066,21.270478062142775,0.09916425141698826,37.690004230497294,10.363678899786219,-13.696654899890145,30.34941118547681
HP Type,Ground-Source,RF,33683,374,36.55823798355253,-0.04428190728597324,-1.136883505050509,7.095850046950171,11.055349665443046,0.739343080365851,21.480477668011222,4.42887473897548,-10.309812263939905,11.007992308814293
HP Type,Ground-Source,XGBoost,33683,374,36.55823798355253,-1.036487970798,-1.8834968566894545,7.42010113425876,11.044849039410506,0.7398380011158795,22.72713628294637,5.003990478515625,-11.719525177001952,10.127755645751952
HP Type,Ground-Source,LightGBM,33683,374,36.55823798355253,-0.8435095923886146,-1.7007162855796096,7.351707795442363,10.936283599614033,0.7449273937272423,22.50624538666384,4.961043441431961,-11.377875909464445,10.192141468093997
HP Type,Ground-Source,DT,33683,374,36.55823798355253,0.267603950304824,-0.5518181818181773,8.880294833397938,13.287016637347316,0.6234876295525844,26.687810351956635,5.771923076923059,-13.034327722909985,14.264863337204796
HP Type,Ground-Source,ANN,33683,374,36.55823798355253,2.0092549397753294,0.48116993411824893,9.864593745489204,14.1495615354708,0.5730173222625538,29.765168540948387,6.842758729195445,-12.909521305683043,18.421629837242822
HP Type,Ground-Source,ElasticNet,33683,374,36.55823798355253,4.036880168897472,1.6975453740322912,13.59758210797707,19.341658105493792,0.20216754972723405,39.39897159604329,9.727309651994283,-15.8843716385901,26.21508592567247
HP Type,Unknown,RF,539,6,40.12428571428571,0.18997665585727522,-1.2221936645021643,6.30347538369051,8.325340891864995,0.6563982724096753,16.211840034543158,5.1221656616161475,-8.180268667693658,11.722842156250577
HP Type,Unknown,XGBoost,539,6,40.12428571428571,-1.6487174976469194,-2.451297302246097,5.8569257786455315,7.425794814563004,0.7266386076137299,15.311062767456344,5.037265625000003,-9.69291204833984,7.9546328430175794
HP Type,Unknown,LightGBM,539,6,40.12428571428571,-2.759561383207785,-1.786267436719335,7.346404575026651,10.545445376129267,0.4487086972299821,18.14378362230073,5.102576815178736,-13.610298161062119,7.7724207515808885
HP Type,Unknown,DT,539,6,40.12428571428571,1.3100619166940175,-0.04988505747125771,6.965233602540363,9.505563095961413,0.5520732634575465,17.8430565477312,5.032777777777781,-8.59929408466498,13.404822988505751
HP Type,Unknown,ANN,539,6,40.12428571428571,2.837374407305924,2.273815198766677,9.70641718407272,12.472108000437034,0.2288639367604952,24.81705305381695,8.16604036645732,-11.962338679161446,18.178630404275314
HP Type,Unknown,ElasticNet,539,6,40.12428571428571,8.588677887351691,6.835555800980821,14.315380780375913,18.636534163069772,-0.7217955763715769,38.755262948551454,10.9695282624076,-12.659389929188764,31.583318736240027
Building Type,Apartment,RF,630,7,23.857476190476188,0.17682055005251504,-1.2653726392794074,5.828654731753256,9.070985804511105,0.8035321820725476,35.175292932429706,4.078035782844959,-8.16798548723378,8.49892734660892
Building Type,Apartment,XGBoost,630,7,23.857476190476188,0.09895725509098621,-1.714238681793213,5.597632902675205,8.616295037512145,0.8227347652170174,33.35940773296502,3.694536514282227,-7.42074462890625,9.274318206787111
Building Type,Apartment,LightGBM,630,7,23.857476190476188,-0.4365604199612268,-1.64573304136972,6.336510679657077,9.231281669806929,0.7965271574647077,37.82861511213127,4.4168677098905,-9.65663092542054,9.993349089497157
Building Type,Apartment,DT,630,7,23.857476190476188,-1.0723814379906922,-0.9604285868509097,7.403856217099449,10.423158443146056,0.7405933374732018,43.94254708030726,5.080986921529192,-11.002808691096535,9.904814982578403
Building Type,Apartment,ANN,630,7,23.857476190476188,-1.7009915825351722,-3.2387143753431333,7.143953487203417,10.240467499765339,0.7496070976113292,39.62380241766235,5.270631854874817,-10.782887370319987,9.07284112366012
Building Type,Apartment,ElasticNet,630,7,23.857476190476188,-0.6457760334186816,-6.394871585347045,13.46490039160214,15.995271675691143,0.3891062403235711,65.05393280328656,11.647211804493335,-16.89381036043668,22.78739367356222
Building Type,House,RF,73199,813,39.241013675050205,0.2514567304935802,-1.0356304805194654,7.496371410093228,11.580482540221505,0.7267193633126756,21.183167601027627,4.802445918470397,-10.645955841870494,12.035995157815755
Building Type,House,XGBoost,73199,813,39.241013675050205,-0.8754138213898159,-1.8834579467773445,7.853182781098314,11.635660517070175,0.7241089372765213,22.327394517458814,5.3419873046875,-12.282917358398437,11.128729385375964
Building Type,House,LightGBM,73199,813,39.241013675050205,-0.7242934091777791,-1.7018205843254677,7.842297697262998,11.698522795049845,0.7211198522522806,22.25229841076929,5.295799352149032,-12.018876771440382,11.214640362049197
Building Type,House,DT,73199,813,39.241013675050205,0.49819623006452585,-0.5050961538461571,9.52900646843712,14.49664722019079,0.5717565892821209,26.30189382935834,6.2306250000000105,-13.49080430493277,15.596817982456152
Building Type,House,ANN,73199,813,39.241013675050205,3.308183671967128,1.4069522148205706,10.862294268531539,15.624320399824086,0.5025403946164706,30.470699262720192,7.530187294119262,-12.67767431722609,21.47007147984031
Building Type,House,ElasticNet,73199,813,39.241013675050205,5.626920361998252,2.9516932300519443,14.233677205065197,20.452477926789552,0.1475922024963533,38.25421112241193,10.036133242141148,-14.740478908052333,28.68003804590075
Building Type,Unknown,RF,539,6,37.2482560296846,0.7730687342947207,-0.4196254607708738,5.869821641803593,8.011920319483707,0.7295724678959246,16.618461876177843,4.351944644841058,-7.6745639251082185,11.722842156250577
Building Type,Unknown,XGBoost,539,6,37.2482560296846,-1.203892121182302,-1.9362654113769544,5.460557165765143,7.09622312467138,0.7878552997569852,16.053312015105064,4.438845825195315,-8.956402038574218,7.9546328430175794
Building Type,Unknown,LightGBM,539,6,37.2482560296846,-0.6127647349436935,-1.0965833372112215,5.299081927024022,7.09650678656127,0.7878383390249738,15.316626728109675,4.199230761972231,-8.16358489530528,7.7724207515808885
Building Type,Unknown,DT,539,6,37.2482560296846,1.3769411580123125,0.45341463414635186,7.29457019158517,9.802577606067812,0.5951834676510768,22.52450251973236,5.383076923076928,-9.02039702233251,13.518534616412724
Building Type,Unknown,ANN,539,6,37.2482560296846,3.1677468491033514,2.072941889191913,9.322110223289304,12.043177173300675,0.3889738276818573,26.613993900598825,7.61347911086057,-10.316667439150303,18.178630404275314
Building Type,Unknown,ElasticNet,539,6,37.2482560296846,11.213129929353052,7.667877226652283,12.85673773063477,17.800349318257876,-0.3348569040821263,36.9548828367235,8.415971318247223,-2.6005489082837108,31.583318736240027
Heat Distribution,Both,RF,7921,88,44.732513571518744,0.9593587552809814,-0.6115200045572529,8.218051795057887,13.178895560063543,0.7878956154241052,21.12709645171849,4.908346290764953,-10.183544757575763,13.84970710966811
Heat Distribution,Both,XGBoost,7921,88,44.732513571518744,-0.5517439856081955,-1.606770324707032,8.176611358931293,12.6058048414566,0.8059414544165274,21.141048762851668,5.271551513671874,-12.115387268066407,11.565819854736326
Heat Distribution,Both,LightGBM,7921,88,44.732513571518744,-0.19003650940260342,-1.279038267332922,8.083433356448237,12.571683470149182,0.8069905872851934,20.76884943258833,5.120274922605308,-11.691214290457268,11.58005283896307
Heat Distribution,Both,DT,7921,88,44.732513571518744,0.8581000903449458,-0.4024999999999892,10.545189695000131,16.063828030041904,0.6848700315272629,26.833956182297236,6.5758620689655345,-14.278775510204085,18.25123595505618
Heat Distribution,Both,ANN,7921,88,44.732513571518744,3.9296831026052295,1.604769463697501,11.435806770781793,16.85495243683919,0.6530661494634767,28.91107359936379,7.436115356562858,-12.693980691073882,24.180010834066508
Heat Distribution,Both,ElasticNet,7921,88,44.732513571518744,9.101372906247127,5.0691972009066575,19.312636421921102,27.9231797497176,0.04781495172596817,45.91077561454653,13.155696563585348,-19.83766483846594,41.80338504900552
Heat Distribution,Floor,RF,50964,566,37.67802546895848,-0.23543580135224976,-1.323376854864506,7.3651233934141604,11.100184777021102,0.7180200135409258,21.496495750395866,4.85717295658344,-11.01618152280709,11.19514898963451
Heat Distribution,Floor,XGBoost,50964,566,37.67802546895848,-1.2802826843900945,-2.170328407287598,7.851043707615034,11.372053300978559,0.7040382122568003,23.008886099247196,5.4830757141113295,-12.709618995666505,10.624198097229005
Heat Distribution,Floor,LightGBM,50964,566,37.67802546895848,-1.1971077799865142,-2.0502936441644364,7.82537261565781,11.448327096955698,0.7000547921687453,22.901677071755362,5.41734778468836,-12.405242401186458,10.562903334907332
Heat Distribution,Floor,DT,50964,566,37.67802546895848,-0.004080689599210078,-0.7848900333624815,9.336723105259761,14.166058564226613,0.5407428412790377,26.514652277728572,6.1653164771763045,-13.788651448923428,14.647285875706219
