Household_ID,training_days,mae_rf,mae_xgboost,mae_lightgbm
1060,411,27.46007012929655,26.047594417148165,25.89598179271005
11769,875,3.5322441798135475,2.7352315224541557,3.642713334240639
88721,167,2.237128348206702,2.7399507683648006,2.4289364548754007
100119,796,3.5143010572107887,3.3665243292914484,2.876133571759232
100120,488,3.095839475935825,3.0969462156831553,3.549111020097799
100167,292,3.7584927608909284,4.408737704098879,4.719782973792285
100721,381,8.045913124359592,7.510002011309611,7.367955024597714
100768,560,3.08436434079908,3.5512856381734212,3.065009152955506
100778,412,8.189029609448015,6.109689052707546,5.991533045373298
100847,578,18.141600011720666,23.397924264695913,29.316298823802022
100871,301,6.023158644156677,8.005291617257253,6.509180874976867
101102,469,5.12588182235368,5.308033376057942,5.977248739691632
101105,692,8.429593834236995,8.021367286682128,8.505270626224174
101574,341,5.724430952341647,6.549483982404073,7.416538611225376
101707,1360,4.0522410315890465,3.816715473175049,4.0273183817332
101708,704,30.122551146642486,32.946214041815864,31.213432403729737
101721,602,23.61570997703342,22.740770312839086,22.559919484009257
101761,385,3.5992331373322797,4.0772222578260635,4.34143506003927
101776,704,3.983414684894184,4.385516537637501,4.247705855314875
101797,216,4.7293585746215125,3.778275553385416,4.457268903401793
101836,469,4.598075860761136,8.691428312513564,7.760415882581119
101891,477,27.034238599368383,20.932144153171116,22.27841184661564
102106,1612,16.086564241058156,14.68606372409397,15.517683224518834
102109,477,3.1283354182860332,2.9479665001763236,3.6706557831700244
102113,307,10.348518780591613,8.299514136420356,7.889997092659799
102119,588,4.194351406049941,6.476451800452339,6.449613926347554
102120,391,3.365817516074244,3.654025665953919,3.9450260026601858
102299,673,8.808488622527987,8.59136646440294,8.559273537705327
102778,854,6.647519994317646,6.647864919026693,5.620519665171273
103106,462,29.109840982687437,26.338082314809157,25.966960159096303
103108,320,7.320730477723018,7.1905805261400015,7.265774325146351
103115,560,1.954831651481165,3.8546957304212786,2.7590785330820724
103211,448,12.637973303651135,11.654625560336644,13.169110965576804
103246,420,3.9291093943631616,3.6048706037733287,4.269166113959931
103724,464,11.498425624929126,12.552321951124403,12.363376720094648
103834,855,6.365208512716104,6.434259734259711,7.629972450457385
103991,377,2.8790501842827965,4.3412176759507926,4.020064948176429
104012,701,8.624421203802036,6.743686545477974,8.050397698707075
104110,483,5.218546588302013,6.173885403103298,7.938292616372736
104118,697,4.09446056734513,4.360094395955404,4.385467629635771
104461,438,10.849757222921985,10.828759729173449,10.759877011694869
