Config,Model,RMSE,MAE,R2,sMAPE,MedAE,N
A: SMD+Weather,LightGBM,17.243287650418978,12.258242136678355,0.3935722674618004,33.46424170210348,9.32039734586508,74368
A: SMD+Weather,RF,16.703543470728974,12.126141637587173,0.4309425271045306,33.37022686394111,9.299053865903895,74368
B: +Metadata (Full),LightGBM,12.205773614055259,8.464821429843253,0.6961428018898743,24.367666775855,6.095156174554946,74368
B: +Metadata (Full),RF,11.546109932551904,7.477255802558637,0.7280993261295914,21.291482508210198,4.792467877703224,74368
B-109: +Metadata (109 HH),LightGBM,8.431250531415497,6.055138509629501,0.847084557160638,16.15017525164803,4.546097148176628,5294
C: +Protocol (Track B),LightGBM,8.570755865789717,6.181029949601533,0.8416949506363518,16.347546789096725,4.531824074138825,5475
