model,feature,mean_abs_shap
LightGBM,temp_range_daily,0.10478959661034434
LightGBM,Temperature_avg_daily,0.09767914154757876
LightGBM,hp_type_unknown,0.08781404258384143
LightGBM,heat_dist_unknown,0.08394118035569392
LightGBM,HeatingDegree_SIA_daily,0.07504100952271339
LightGBM,dhw_unknown,0.0729288186702046
LightGBM,has_reactive_energy,0.06309157905202133
LightGBM,HeatingDegree_US_daily,0.027087073458359964
LightGBM,building_type_house,0.016122715187276378
LightGBM,building_type_apartment,0.006574645306055184
LightGBM,is_weekend,0.004656592441644395
LightGBM,dhw_combined,0.002827631810921074
LightGBM,HDD_SIA_daily,0.002238563577304726
LightGBM,CoolingDegree_US_daily,0.00030664222554856803
LightGBM,HDD_US_daily,2.754891920870855e-05
LightGBM,CDD_US_daily,2.1469960676720382e-06
DT,kvarh_received_inductive_Total,8.659297467204574
DT,temp_avg_lag_1d,6.961949823939192
DT,kvarh_received_capacitive_Total,3.938451066274844
DT,Survey_Building_LivingArea,3.6396320037989884
DT,temp_avg_rolling_3d,2.614622237214612
DT,has_pv,2.072524445569422
DT,Survey_Building_Residents,1.6497962589986905
DT,dhw_ewh,1.4885327819385394
DT,has_ev,0.987473552615925
DT,hp_type_air_source,0.9472239846609511
DT,heat_dist_radiator,0.8161018870473256
DT,has_dryer,0.760692257785473
DT,hp_type_ground_source,0.7072212501319338
DT,dhw_hp,0.36650375603409785
DT,day_of_year,0.36132995464422
DT,heat_dist_floor,0.26717623433426774
DT,heat_dist_both,0.243464339246912
DT,temp_avg_rolling_7d,0.22328811731224163
DT,HDD_SIA_rolling_7d,0.21814781441610362
DT,Sunshine_duration_daily,0.21072184004812947
DT,dhw_solar,0.1281249919638519
DT,hp_type_unknown,0.08442985526916519
DT,has_reactive_energy,0.08215158034915665
DT,Temperature_max_daily,0.05232656971461913
DT,Humidity_avg_daily,0.04925294852105927
DT,heat_dist_unknown,0.04085487753922301
DT,dhw_unknown,0.03496170865235455
DT,day_of_week,0.028377423618674884
DT,building_type_house,0.025740672302740682
DT,temp_range_daily,0.02537932305468403
DT,humidity_x_temp,0.02158430734679165
DT,is_heating_season,0.019563832652547325
DT,month,0.018495801042632373
DT,Temperature_min_daily,0.01716939708997969
DT,Precipitation_total_daily,0.015885858703123455
DT,building_type_apartment,0.010646309287520311
DT,dhw_combined,0.006643619874773595
DT,HDD_US_daily,0.005462993454933264
DT,Temperature_avg_daily,0.0031851849323636904
DT,HeatingDegree_US_daily,0.0020238360497002116
DT,CDD_US_daily,0.0015574007691685982
DT,HDD_SIA_daily,0.001247482863870917
DT,is_weekend,0.0005313460574170406
DT,HeatingDegree_SIA_daily,0.00047756630137023315
DT,CoolingDegree_US_daily,0.00015368293555403578
ElasticNet,temp_avg_rolling_7d,0.172518293471624
ElasticNet,dhw_ewh,0.16631524360879232
ElasticNet,has_pv,0.14539247776088726
ElasticNet,dhw_hp,0.11999486633092823
ElasticNet,Survey_Building_LivingArea,0.09904803227153756
ElasticNet,HDD_SIA_daily,0.08893107107415181
ElasticNet,HDD_SIA_rolling_7d,0.0687982699873956
ElasticNet,has_dryer,0.05840589983327156
ElasticNet,Survey_Building_Residents,0.05629997717764352
ElasticNet,hp_type_air_source,0.04056433701307771
ElasticNet,has_reactive_energy,0.034476334977111736
ElasticNet,has_ev,0.03067919323913061
ElasticNet,is_heating_season,0.030409501491253
ElasticNet,month,0.02960789711365705
ElasticNet,season_encoded,0.024594861751829983
ElasticNet,day_of_week,0.011830908956863933
ElasticNet,is_weekend,0.010045299979931397
ElasticNet,Survey_Building_Residents_imputed,0.00870153898080356
ElasticNet,Survey_Building_LivingArea_imputed,0.008329316910754034
ElasticNet,Humidity_avg_daily,0.008298667162536391
ElasticNet,building_type_house,0.006943656936063951
ElasticNet,has_freezer,0.006777662534822265
ElasticNet,dhw_solar,0.0058254779501543345
ElasticNet,Precipitation_total_daily,0.0041942846255286145
ElasticNet,heat_dist_radiator,0.0019825951460651615
ElasticNet,CDD_US_daily,0.0010622362096799288
ElasticNet,hp_type_unknown,0.0007266715460498781
ElasticNet,dhw_combined,8.429258285874075e-05
ElasticNet,heat_dist_floor,0.0
ElasticNet,heat_dist_both,0.0
ANN,dhw_ewh,6.018160362815151
ANN,temp_avg_rolling_7d,4.196857914341081
ANN,dhw_hp,4.188575425511258
ANN,Survey_Building_LivingArea,3.6073294976954533
ANN,Survey_Building_Residents,2.1070197985828205
ANN,month,2.0165796026320435
ANN,HDD_SIA_daily,1.7249962274082753
ANN,has_pv,1.705158286073659
ANN,has_ev,1.37109674439275
ANN,has_reactive_energy,1.1626720851961252
ANN,hp_type_air_source,1.1056370217790927
ANN,heat_dist_floor,1.0106036228930237
ANN,heat_dist_radiator,0.9635145254349635
ANN,has_dryer,0.8389915715816942
ANN,heat_dist_both,0.6438564063880761
ANN,has_freezer,0.48903054416167646
ANN,dhw_solar,0.457162629108817
ANN,HDD_SIA_rolling_7d,0.3584191075278055
ANN,building_type_house,0.29082036185448534
ANN,Survey_Building_LivingArea_imputed,0.2897660390717136
ANN,CDD_US_daily,0.28084971908251316
ANN,Humidity_avg_daily,0.27715110534983894
ANN,is_weekend,0.27257571276370085
ANN,day_of_week,0.2652386126660792
ANN,Survey_Building_Residents_imputed,0.22990907910032707
ANN,is_heating_season,0.21942755938502723
ANN,season_encoded,0.21840392838107092
ANN,Precipitation_total_daily,0.1599531860353243
ANN,hp_type_unknown,0.050220561800779974
ANN,dhw_combined,0.012486934122052606
