,ANN,DT,ElasticNet,LightGBM,RF,XGBoost
ANN,0.9999999999999999,0.9022222222222221,0.6198290598290598,0.788034188034188,0.7668376068376067,0.8687179487179486
DT,0.9022222222222221,0.9999999999999999,0.6006837606837606,0.8762393162393161,0.8899145299145298,0.9494017094017093
ElasticNet,0.6198290598290598,0.6006837606837606,0.9999999999999999,0.5842735042735042,0.6594871794871794,0.591111111111111
LightGBM,0.788034188034188,0.8762393162393161,0.5842735042735042,0.9999999999999999,0.9610256410256409,0.9049572649572648
RF,0.7668376068376067,0.8899145299145298,0.6594871794871794,0.9610256410256409,0.9999999999999999,0.8905982905982905
XGBoost,0.8687179487179486,0.9494017094017093,0.591111111111111,0.9049572649572648,0.8905982905982905,0.9999999999999999
