model,feature,mean_abs_shap
RF_B,day_of_year,0.0033385660868839985
RF_B,heating_curve_gradient_lower,0.003036373124646838
RF_B,HeatPump_Installation_Year,0.002912174829567234
RF_B,Temperature_max_daily,0.002683680116002493
RF_B,HeatPump_Installation_HeatingCapacity,0.002618368109528699
RF_B,kvarh_received_inductive_Total,0.0024166382767050938
RF_B,hp_type_air_source,0.002358529136067896
RF_B,kvarh_received_capacitive_Total,0.0022157558232039154
RF_B,hp_type_ground_source,0.0021994887106267457
RF_B,heating_curve_gradient_upper,0.0021894821416574635
RF_B,Survey_Building_Residents,0.0019851395807517474
RF_B,HDD_US_daily,0.0019687578812995657
RF_B,heat_dist_floor,0.0019438271745269695
RF_B,building_type_apartment,0.0019084848937634398
RF_B,dhw_combined,0.001872734317396146
RF_B,HeatPump_HeatingLimitSetting_BeforeVisit,0.0018638203724398168
RF_B,DHW_TemperatureSetting_BeforeVisit,0.0016751860594577043
RF_B,building_age,0.0015907770353069566
RF_B,Building_PVSystem_Size,0.0015832610743377478
RF_B,Building_FloorAreaHeated_SecondFloor,0.001335332123387939
RF_B,HeatPump_HeatingCurveSetting_Outside0_BeforeVisit,0.001330499807975836
RF_B,HeatPump_Installation_Normpoint_ElectricPower,0.001251642173280472
RF_B,Building_FloorAreaHeated_TopFloor,0.0010950834893721935
RF_B,temp_avg_lag_1d,0.001077794171768983
RF_B,has_ev,0.0010746483601025115
RF_B,humidity_x_temp,0.0009550870229628918
RF_B,HeatPump_HeatingCurveSetting_Outside20_BeforeVisit,0.0008885505425230026
RF_B,heat_dist_unknown,0.0008292126593162616
RF_B,heat_dist_radiator,0.0008250375524223645
RF_B,HeatPump_Installation_Normpoint_HeatingPower,0.0007104299660784388
RF_B,temp_range_daily,0.0007035706122325426
RF_B,temp_avg_rolling_7d,0.0006674448037029759
RF_B,HeatPump_HeatingCurveSetting_OutsideMinus8_BeforeVisit,0.0006379462718996466
RF_B,Building_FloorAreaHeated_Basement,0.0005586552635953385
RF_B,is_heating_season,0.000530254287447346
RF_B,hp_capacity_per_area,0.0003628981023165455
RF_B,Temperature_min_daily,0.00026003532985838636
RF_B,has_pv,0.00025017384417735396
RF_B,HeatPump_Installation_Normpoint_COP,0.000186811041066536
RF_B,Sunshine_duration_daily,0.00017212915988367372
RF_B,Building_FloorAreaHeated_GroundFloor,6.651096758240973e-05
