Model,CV_RMSE_Mean,CV_RMSE_Std,CV_RMSE_Folds
ElasticNet,19.10080095346975,2.852513196705736,"[24.67366715024986, 16.713583240548456, 18.091494722828905, 18.533004577411237, 17.492255076310286]"
DT,20.539281049856562,1.9597519058778492,"[24.303675523416228, 20.15888346025761, 18.876457964956316, 20.24507271156287, 19.11231558908978]"
RF,16.79736784435983,1.7412286615565453,"[20.184311111730135, 15.803129614196843, 15.310988031330732, 16.543521877155246, 16.14488858738619]"
XGBoost,16.599370748831113,1.6466764069610056,"[19.615374066206122, 14.938265608014724, 15.29961561336357, 16.496679799102086, 16.646918657469065]"
LightGBM,16.63097634604082,1.9170648364249747,"[20.27682873665469, 15.682818183745983, 14.853542013971536, 16.719359131256315, 15.622333664575596]"
ANN,24.31569649417773,2.4398438932281286,"[27.78192906227615, 24.741797868481473, 20.605171062853245, 25.600171163776864, 22.84941331350092]"
